osm_id,full_osm_id,name,highway,surface,oneway,bridge,centroid_lat,centroid_lng,road_length,geometry,dist_to_water_m,dist_to_drain_m,flood_count,is_flooded,highway_score,avg_rainfall_mm,risk_label
162093044,way/162093044,New Street,residential,asphalt,0,0,13.072241120000001,80.206363,102.49,"{'type': 'LineString', 'coordinates': [[80.2063016, 13.0726116], [80.2062558, 13.0721949], [80.2062585, 13.0721674], [80.2062761, 13.0721509], [80.206723, 13.0720808]]}",599.77,1612.79,0,0,4,0.161,0
162093260,way/162093260,Jai Nagar 18th street,residential,,0,0,13.07190425,80.2063915,67.05,"{'type': 'LineString', 'coordinates': [[80.2060929, 13.0719497], [80.2066901, 13.0718588]]}",636.5,1632.73,0,0,4,0.161,0
206825908,way/206825908,8th Street,residential,,0,0,13.070009579999999,80.20703958,151.01,"{'type': 'LineString', 'coordinates': [[80.2064507, 13.0701458], [80.2065296, 13.070138], [80.2070862, 13.0700003], [80.2073592, 13.0699373], [80.2077722, 13.0698265]]}",633.18,1800.95,0,0,4,0.161,0
206825912,way/206825912,,residential,,0,0,13.070654780000002,80.20725148,128.38,"{'type': 'LineString', 'coordinates': [[80.2070862, 13.0700003], [80.2071889, 13.0703993], [80.207299, 13.0708274], [80.2073237, 13.0709233], [80.2073596, 13.0711236]]}",676.59,1783.59,0,0,4,0.161,0
206825915,way/206825915,,residential,,0,0,13.070754149999999,80.21381055,102.57,"{'type': 'LineString', 'coordinates': [[80.2133488, 13.0707696], [80.2142723, 13.0707387]]}",610.77,2435.83,0,0,4,0.161,0
206825916,way/206825916,,residential,,0,0,13.070782999999999,80.20778325,181.53,"{'type': 'LineString', 'coordinates': [[80.2081634, 13.0711054], [80.2078919, 13.0710302], [80.2077185, 13.0710591], [80.2073592, 13.0699373]]}",736.99,1827.83,0,0,4,0.161,0
206825920,way/206825920,,residential,,0,0,13.070997325,80.208756725,134.28,"{'type': 'LineString', 'coordinates': [[80.2081967, 13.071217], [80.2088148, 13.0710383], [80.2087874, 13.0709397], [80.209228, 13.0707943]]}",811.56,1912.2,4,1,4,0.161,2
206825921,way/206825921,,residential,,0,0,13.0721722,80.21486207777778,221.91,"{'type': 'LineString', 'coordinates': [[80.2142739, 13.0714296], [80.2144949, 13.071726], [80.2146021, 13.071845], [80.214716, 13.0720274], [80.2148851, 13.0725172], [80.214947, 13.0725273], [80.2150499, 13.0725268], [80.2151753, 13.0725049], [80.2156145, 13.0724456]]}",449.7,2494.19,0,0,4,0.161,0
206825922,way/206825922,,residential,,0,0,13.07021098,80.21411371333333,302.42,"{'type': 'LineString', 'coordinates': [[80.2138146, 13.0687541], [80.2138186, 13.0691479], [80.2138377, 13.0693439], [80.2138746, 13.0695837], [80.2139417, 13.0698703], [80.2139914, 13.0699786], [80.2140254, 13.0700928], [80.2140729, 13.0701627], [80.2141237, 13.0703042], [80.2141979, 13.0705211], [80.2142723, 13.0707387], [80.2143384, 13.0709109], [80.2144029, 13.071148], [80.214462, 13.0712671], [80.2145316, 13.0713407]]}",667.44,2489.56,0,0,4,0.161,0
206831683,way/206831683,,residential,,0,0,13.071100766666666,80.20588656666666,153.08,"{'type': 'LineString', 'coordinates': [[80.206563, 13.0709697], [80.2058817, 13.0710793], [80.205215, 13.0712533]]}",559.11,1628.16,0,0,4,0.161,0
